REGISTRO;PRODUTO;TIPO DE PRODUTO ;APRESENTACAO;CLASSE TERAPEUTICA;CNPJ;LABORATORIO;PF Sem Impostos;TARJA
1,56E+12;HEMITARTARATO DE ZOLPIDEM;Similar;10 MG COM REV CT STR AL X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;05.161.069/0001-10;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;30,48;Tarja Vermelha (*)
1,01E+12;HEMITARTARATO DE ZOLPIDEM;Similar;10 MG COM REV CT STR AL X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;33.069.212/0001-84;MERCK S/A;30,49;Tarja Vermelha (*)
1,68E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS OPC X 30;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;45,75;Tarja Vermelha (*)
1,10E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS AMB X 30;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;49.475.833/0001-06;BIOLAB SANUS FARMACÊUTICA LTDA;45,72;Tarja Vermelha (*)
1,00E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS OPC X 10 ;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;61.286.647/0001-16;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;14,69;Tarja Vermelha(*)
1,00E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS OPC X 20 ;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;61.286.647/0001-16;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;29,49;Tarja Vermelha(*)
1,10E+12;NOCTIDEN;Similar;10 MG COM REV CT BL AL PLAS AMB X 10;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;49.475.833/0001-06;BIOLAB SANUS FARMACÊUTICA LTDA;16,13;Tarja Vermelha (*)
1,10E+12;NOCTIDEN;Similar;10 MG COM REV CT BL AL PLAS AMB X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;49.475.833/0001-06;BIOLAB SANUS FARMACÊUTICA LTDA;33,41;Tarja Vermelha (*)
1,13E+12;STILNOX;Novo;10 MG COM REV CT  BL AL PLAS TRANS X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;02.685.377/0001-57;SANOFI-AVENTIS FARMACÊUTICA LTDA;46,91;Tarja  Vermelha
1,13E+12;STILNOX;Novo;6,25 MG COM LIB PROL CT BL AL PLAS TRANS X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;02.685.377/0001-57;SANOFI-AVENTIS FARMACÊUTICA LTDA;23,45;Tarja  Vermelha
1,13E+12;STILNOX;Novo;12,5 MG COM LIB PROL CT BL AL PLAS TRANS X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;02.685.377/0001-57;SANOFI-AVENTIS FARMACÊUTICA LTDA;46,91;Tarja  Preta
1,57E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT STR AL X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;05.254.971/0001-81;ZYDUS NIKKHO FARMACÊUTICA LTDA;28,76;Tarja Vermelha (*)
1,57E+12;ZYLINOX;Similar;10 MG COM REV CT STR AL X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;05.254.971/0001-81;ZYDUS NIKKHO FARMACÊUTICA LTDA;23,6;Tarja Vermelha (*)
1,04E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS PVC TRANS X 30;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;17.159.229/0001-76;LABORATÓRIO TEUTO BRASILEIRO S/A;47,86;Tarja Vermelha (*)
1,68E+12;STILRAM SL;Similar;5 MG COM SUBL CT BL AL AL X 10;N05B3 - HIPNÓTICOS E SEDATIVOS BARBITÚRICOS PUROS;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;23,77;Tarja Vermelha (*)
1,68E+12;STILRAM SL;Similar;5 MG COM SUBL CT BL AL AL X 20;N05B3 - HIPNÓTICOS E SEDATIVOS BARBITÚRICOS PUROS;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;47,54;Tarja Vermelha (*)
1,68E+12;STILRAM SL;Similar;5 MG COM SUBL CT BL AL AL X 30;N05B3 - HIPNÓTICOS E SEDATIVOS BARBITÚRICOS PUROS;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;71,32;Tarja Vermelha (*)
1,54E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;10 MG COM REV CT BL AL PLAS PVC TRANS X 30;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;44,31;Tarja Vermelha (*)
1,78E+12;LUNE SL;Similar;5 MG COM SUBL CT BL AL AL X 30;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;61.082.426/0002-07;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;33,04;Tarja Vermelha (*)
1,56E+12;HEMITARTARATO DE ZOLPIDEM;Genérico;5 MG COM SUBL CT BL AL AL X 30;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;05.161.069/0001-10;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;46,36;Tarja Vermelha (*)
1,10E+12;NUIT FLASH;Novo;5 MG COM ORODISP CT BL AL AL X 30;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;49.475.833/0001-06;BIOLAB SANUS FARMACÊUTICA LTDA;24,19;Tarja Vermelha (*)
1,36E+12;PATZ SL;Novo;5 MG COM SUBL CT BL AL AL X 20;N05B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;49,08;Tarja Vermelha (*)
